transaction_id,transaction_type,transaction_status,transaction_timestamp,amount_value,amount_currency,sender_customer_id,sender_account_id,sender_account_type,sender_kyc_status,sender_account_age_days,device_type,device_os,app_version,ip_risk,sender_state,sender_city,receiver_type,receiver_bank,merchant_category,merchant_risk_level,payment_method,authorization_type,sender_txn_count_1min,sender_txn_count_10min,sender_amount_24hr,is_fraud,risk_score,fraud_reason_unusual_amount,fraud_reason_geo_distance_anomaly,fraud_reason_high_velocity,fraud_severity
96b6e493-27e7-49f3-80f4-0b1a78ee9272,TRANSFER,SUCCESS,2024-07-28T09:47:32Z,7500.89,INR,4d59f5b6-7649-43c3-b4aa-713b52d94a94,060d00f6-953b-4874-a749-c124fc8b1c4c,SAVINGS,FULL_KYC,1850,MOBILE,Android,2.1.0,LOW,Maharashtra,Nagpur,PERSON,ICICI Bank,,,UPI,PIN,1,1,10501.25,False,0.0401,False,False,False,LOW
2d1a3377-3e28-4e89-a2e6-a8360bf03947,PAYMENT,SUCCESS,2024-07-28T10:48:29Z,15000.5,INR,a9094769-3286-4444-b0a6-1606820c78a0,ee650041-9923-455c-a567-0749e776a3e2,CURRENT,FULL_KYC,280,MOBILE,iOS,3.0.5,LOW,Delhi,New Delhi,MERCHANT,HDFC Bank,FOOD,LOW,CARD,PIN,0,1,20000.67,False,0.1234,False,False,False,LOW
6732431d-b65c-4861-82fe-33230c149d5a,PAYMENT,SUCCESS,2024-07-27T08:08:42Z,3200.75,INR,4e73d321-f09d-435e-a035-645cf459346d,03c6130b-0442-4fb8-8120-1e52003c4015,SAVINGS,FULL_KYC,1200,MOBILE,Android,1.9.2,LOW,Karnataka,Bengaluru,MERCHANT,State Bank of India,HEALTH,LOW,UPI,PIN,0,2,4500.99,False,0.0876,False,False,False,LOW
TXN_71360E2A1,TRANSFER,SUCCESS,2023-11-06T18:22:42.148Z,3871.35,INR,CUST_IND_452395,ACC_IND_439818826,SAVINGS,FULL_KYC,1341,MOBILE,Android,1.2.1,LOW,Karnataka,Bengaluru,PERSON,ICICI Bank,,,UPI,PIN,1,3,6496.06,False,0.21,False,False,False,LOW
TXN_B6C577319,PAYMENT,SUCCESS,2023-11-06T15:28:42.148Z,75118.06,INR,CUST_IND_890252,ACC_IND_205763566,CURRENT,FULL_KYC,1563,MOBILE,Android,2.0.5,MEDIUM,Delhi,New Delhi,MERCHANT,Axis Bank,ELECTRONICS,HIGH,CARD,OTP,6,8,105825.96,True,0.94,True,False,True,HIGH
TXN_C21539E94,PAYMENT,SUCCESS,2023-11-06T15:05:42.148Z,1283.47,INR,CUST_IND_514681,ACC_IND_213768297,SAVINGS,FULL_KYC,1826,MOBILE,Android,1.0.0,LOW,Karnataka,Bengaluru,MERCHANT,Kotak Mahindra Bank,FOOD,LOW,UPI,PIN,0,1,5462.62,False,0.35,False,False,False,LOW
TXN_2C74A82F1,PAYMENT,SUCCESS,2023-11-06T09:37:42.148Z,15720.08,INR,CUST_IND_529683,ACC_IND_439818826,CURRENT,FULL_KYC,678,MOBILE,Android,3.1.0,LOW,Rajasthan,Jaipur,MERCHANT,ICICI Bank,TRAVEL,LOW,CARD,OTP,1,3,16964.71,False,0.08,False,False,False,LOW
TXN_C28A81432,TRANSFER,SUCCESS,2023-11-06T01:32:42.148Z,298.11,INR,CUST_IND_817349,ACC_IND_104595603,SAVINGS,MIN_KYC,345,MOBILE,Android,1.0.0,LOW,Uttar Pradesh,Noida,PERSON,State Bank of India,,,UPI,PIN,0,0,3574.67,False,0.16,False,False,False,LOW
TXN_6CE36B0B6,TRANSFER,SUCCESS,2023-11-06T02:07:42.148Z,680.12,INR,CUST_IND_123456,ACC_IND_123456789,SAVINGS,FULL_KYC,720,MOBILE,Android,2.0.5,LOW,Maharashtra,Mumbai,PERSON,HDFC Bank,,,UPI,PIN,0,1,5262.19,False,0.23,False,False,False,LOW
TXN_77C9246B6,PAYMENT,SUCCESS,2023-11-06T12:00:42.148Z,3412.02,INR,CUST_IND_152345,ACC_IND_987654321,CURRENT,FULL_KYC,1100,WEB,Windows,3.1.0,LOW,Karnataka,Bengaluru,MERCHANT,ICICI Bank,ELECTRONICS,LOW,NETBANKING,OTP,0,1,7891.22,False,0.05,False,False,False,LOW
